"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","21,875.96","21,890.20","22,211.18","21,861.78","-","-0.07%"
"Dec 02, 2021","21,890.20","21,758.61","21,952.88","21,737.96","-","0.60%"
"Dec 01, 2021","21,758.61","22,207.39","22,293.00","21,753.26","-","-2.98%"
"Nov 30, 2021","22,426.07","22,588.53","22,588.53","21,846.35","-","-0.72%"
"Nov 29, 2021","22,588.53","22,925.38","22,988.18","22,320.13","-","-1.47%"
"Nov 26, 2021","22,925.38","23,039.47","23,039.47","22,523.03","-","-0.50%"
"Nov 25, 2021","23,039.47","23,182.09","23,255.32","22,882.48","-","-0.62%"
"Nov 24, 2021","23,182.09","23,494.90","23,534.27","23,074.19","-","-1.33%"
"Nov 23, 2021","23,494.90","23,874.04","23,889.98","23,332.85","-","-1.59%"
"Nov 22, 2021","23,874.04","21,846.47","24,049.10","21,846.47","-","9.28%"
"Nov 19, 2021","21,846.47","21,500.57","21,905.28","21,366.66","-","1.61%"
"Nov 18, 2021","21,500.57","21,573.22","21,865.53","21,385.92","-","-0.34%"
"Nov 17, 2021","21,573.22","21,639.41","21,741.80","21,426.58","-","-0.31%"
"Nov 16, 2021","21,639.41","22,016.10","22,034.83","21,605.91","-","-1.71%"
"Nov 15, 2021","22,016.10","22,486.09","22,498.69","21,938.59","-","-2.09%"
"Nov 12, 2021","22,486.09","22,637.46","22,697.37","22,466.54","-","-0.67%"
"Nov 11, 2021","22,637.46","22,487.19","22,642.04","22,383.66","-","0.67%"
"Nov 10, 2021","22,487.19","22,413.32","22,488.90","22,214.47","-","0.33%"
"Nov 09, 2021","22,413.32","21,952.97","22,413.32","21,782.47","-","2.10%"
"Nov 08, 2021","21,952.97","22,039.39","22,256.27","21,920.68","-","-0.39%"
"Nov 05, 2021","22,039.39","22,410.04","22,606.96","22,032.81","-","-1.65%"
"Nov 04, 2021","22,410.04","21,614.53","22,410.04","21,614.53","-","3.68%"
"Nov 03, 2021","21,614.53","21,124.44","21,634.97","21,124.44","-","2.32%"
"Nov 02, 2021","21,124.44","20,561.17","21,167.62","20,561.17","-","2.74%"
"Oct 29, 2021","20,561.17","20,559.90","20,686.28","20,453.30","-","0.01%"
"Oct 28, 2021","20,559.90","20,652.99","20,709.08","20,456.12","-","-0.45%"
"Oct 27, 2021","20,652.99","21,225.62","21,317.27","20,652.99","-","-2.70%"
"Oct 26, 2021","21,225.62","20,851.45","21,314.80","20,851.45","-","1.79%"
"Oct 25, 2021","20,851.45","20,427.78","20,865.69","20,427.78","-","2.07%"
"Oct 22, 2021","20,427.78","20,272.59","20,491.66","20,269.97","-","0.77%"
"Oct 21, 2021","20,272.59","20,204.88","20,373.70","20,174.19","-","0.34%"
"Oct 20, 2021","20,204.88","20,012.32","20,319.27","19,923.79","-","0.96%"
"Oct 19, 2021","20,012.32","20,046.94","20,184.28","20,007.00","-","-0.17%"
"Oct 18, 2021","20,046.94","19,945.59","20,357.05","19,857.81","-","0.51%"
"Oct 15, 2021","19,945.59","20,032.79","20,251.48","19,857.88","-","-0.44%"
"Oct 14, 2021","20,032.79","20,075.97","20,202.14","19,960.61","-","-0.22%"
"Oct 13, 2021","20,075.97","20,533.19","20,591.82","19,920.85","-","-2.23%"
"Oct 12, 2021","20,533.19","20,692.59","20,943.73","20,498.74","-","-0.77%"
"Oct 08, 2021","20,692.59","20,621.74","20,785.56","20,621.74","-","0.34%"
"Oct 07, 2021","20,621.74","20,626.35","21,042.63","20,601.60","-","-0.02%"
"Oct 06, 2021","20,626.35","21,103.65","21,151.60","20,496.05","-","-2.26%"
"Oct 05, 2021","21,103.65","21,176.06","21,347.24","21,031.15","-","-0.34%"
"Oct 04, 2021","21,176.06","21,558.47","21,579.33","21,171.39","-","-1.77%"
"Oct 01, 2021","21,558.47","21,723.99","21,776.47","21,516.06","-","-0.76%"
"Sep 30, 2021","21,723.99","21,599.94","21,776.85","21,599.94","-","0.57%"
"Sep 29, 2021","21,599.94","21,544.43","21,732.86","21,524.03","-","0.26%"
"Sep 28, 2021","21,544.43","21,690.07","21,699.65","21,482.65","-","-0.67%"
"Sep 27, 2021","21,690.07","21,838.53","21,943.37","21,674.70","-","-0.68%"
"Sep 24, 2021","21,838.53","22,002.16","22,014.72","21,740.03","-","-0.74%"
"Sep 23, 2021","22,002.16","21,869.27","22,038.43","21,869.27","-","0.61%"
"Sep 22, 2021","21,869.27","21,508.49","21,915.09","21,508.49","-","1.68%"
"Sep 21, 2021","21,508.49","21,424.18","21,669.69","21,424.18","-","0.39%"
"Sep 20, 2021","21,424.18","22,278.84","22,278.84","21,419.02","-","-3.84%"
"Sep 16, 2021","22,278.84","22,163.69","22,279.54","22,017.48","-","0.52%"
"Sep 15, 2021","22,163.69","22,096.39","22,231.39","22,045.20","-","0.48%"
"Sep 14, 2021","22,057.70","22,009.13","22,196.53","22,009.13","-","0.22%"
"Sep 13, 2021","22,009.13","22,287.89","22,384.07","21,919.99","-","-1.25%"
"Sep 10, 2021","22,287.89","22,008.76","22,353.74","22,006.61","-","1.27%"
"Sep 09, 2021","22,008.76","21,880.15","22,036.98","21,580.78","-","0.59%"
"Sep 08, 2021","21,880.15","22,140.71","22,140.71","21,736.19","-","-1.18%"
"Sep 07, 2021","22,140.71","22,257.60","22,310.44","22,041.41","-","-0.53%"
"Sep 06, 2021","22,257.60","22,318.73","22,349.42","22,177.62","-","-0.27%"
"Sep 03, 2021","22,318.73","22,222.53","22,321.72","22,112.67","-","0.43%"
"Sep 02, 2021","22,222.53","22,291.38","22,381.12","22,157.73","-","-0.31%"
"Sep 01, 2021","22,291.38","22,466.61","22,466.61","22,250.35","-","-0.78%"
"Aug 31, 2021","22,466.61","22,524.59","22,524.59","22,364.50","-","-0.26%"
"Aug 30, 2021","22,524.59","22,289.96","22,540.10","22,289.96","-","1.05%"
"Aug 27, 2021","22,289.96","22,197.03","22,391.43","22,184.09","-","0.42%"
"Aug 26, 2021","22,197.03","22,154.48","22,285.53","22,093.62","-","0.19%"
"Aug 25, 2021","22,154.48","21,833.78","22,157.42","21,795.80","-","1.47%"
"Aug 24, 2021","21,833.78","21,944.04","21,988.22","21,728.00","-","-0.50%"
"Aug 23, 2021","21,944.04","21,726.06","21,978.07","21,726.06","-","1.00%"
"Aug 20, 2021","21,726.06","21,554.71","21,767.98","21,533.62","-","0.79%"
"Aug 19, 2021","21,554.71","21,706.22","21,706.22","21,472.92","-","-0.70%"
"Aug 18, 2021","21,706.22","21,605.47","21,723.31","21,532.36","-","0.47%"
"Aug 17, 2021","21,605.47","21,636.19","21,655.67","21,389.99","-","-0.14%"
"Aug 16, 2021","21,636.19","21,961.27","21,961.27","21,607.15","-","-1.48%"
"Aug 13, 2021","21,961.27","21,811.37","22,086.08","21,811.37","-","0.69%"
"Aug 12, 2021","21,811.37","21,772.60","21,834.37","21,606.64","-","0.10%"
"Aug 11, 2021","21,788.87","21,659.28","21,858.96","21,601.85","-","0.60%"
"Aug 10, 2021","21,659.28","21,184.71","21,726.80","21,184.71","-","2.24%"
"Aug 09, 2021","21,184.71","21,354.75","21,459.19","21,166.26","-","-0.80%"
"Aug 06, 2021","21,354.75","21,180.13","21,381.93","21,171.30","-","0.82%"
"Aug 05, 2021","21,180.13","21,043.80","21,241.34","21,028.19","-","0.65%"
"Aug 04, 2021","21,043.80","21,042.51","21,068.41","20,897.20","-","0.01%"
"Aug 03, 2021","21,042.51","21,070.24","21,114.32","20,900.01","-","-0.13%"
"Aug 02, 2021","21,070.24","21,238.31","21,355.73","20,977.03","-","-0.79%"
"Jul 30, 2021","21,238.31","21,251.31","21,408.90","21,060.62","-","-0.06%"
"Jul 29, 2021","21,251.31","20,884.38","21,271.59","20,880.69","-","1.76%"
"Jul 28, 2021","20,884.38","20,765.21","20,888.74","20,754.03","-","0.57%"
"Jul 27, 2021","20,765.21","20,775.75","20,798.18","20,625.37","-","-0.05%"
"Jul 26, 2021","20,775.75","20,974.61","21,093.71","20,770.22","-","-0.95%"
"Jul 23, 2021","20,974.61","21,422.16","21,422.16","20,915.70","-","-2.09%"
"Jul 22, 2021","21,422.16","21,372.12","21,513.82","21,259.67","-","0.23%"
"Jul 21, 2021","21,372.12","21,472.43","21,698.26","21,367.50","-","-0.47%"
"Jul 20, 2021","21,472.43","21,200.55","21,572.01","21,200.55","-","1.28%"
"Jul 19, 2021","21,200.55","20,831.74","21,207.88","20,819.42","-","1.77%"
"Jul 15, 2021","20,831.74","20,875.81","20,895.80","20,800.83","-","-0.21%"
