"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","4,369.40","4,370.90","4,442.59","4,364.98","-","-0.03%"
"Dec 02, 2021","4,370.90","4,332.45","4,379.11","4,327.57","-","0.89%"
"Dec 01, 2021","4,332.45","4,432.71","4,449.21","4,332.45","-","-3.38%"
"Nov 30, 2021","4,483.83","4,505.62","4,505.62","4,347.39","-","-0.48%"
"Nov 29, 2021","4,505.62","4,579.30","4,591.69","4,447.88","-","-1.61%"
"Nov 26, 2021","4,579.30","4,601.91","4,601.91","4,486.92","-","-0.49%"
"Nov 25, 2021","4,601.91","4,629.24","4,644.30","4,563.18","-","-0.59%"
"Nov 24, 2021","4,629.24","4,697.66","4,704.56","4,604.10","-","-1.46%"
"Nov 23, 2021","4,697.66","4,780.91","4,784.46","4,660.75","-","-1.74%"
"Nov 22, 2021","4,780.91","4,358.48","4,822.43","4,358.48","-","9.69%"
"Nov 19, 2021","4,358.48","4,281.66","4,373.54","4,251.44","-","1.79%"
"Nov 18, 2021","4,281.66","4,293.18","4,356.25","4,253.56","-","-0.27%"
"Nov 17, 2021","4,293.18","4,304.80","4,325.14","4,257.99","-","-0.27%"
"Nov 16, 2021","4,304.80","4,382.46","4,387.49","4,294.82","-","-1.77%"
"Nov 15, 2021","4,382.46","4,485.97","4,488.39","4,370.87","-","-2.31%"
"Nov 12, 2021","4,485.97","4,519.38","4,532.36","4,485.83","-","-0.74%"
"Nov 11, 2021","4,519.38","4,489.04","4,519.86","4,463.71","-","0.68%"
"Nov 10, 2021","4,489.04","4,470.52","4,489.24","4,429.39","-","0.41%"
"Nov 09, 2021","4,470.52","4,363.33","4,472.98","4,331.36","-","2.46%"
"Nov 08, 2021","4,363.33","4,388.19","4,434.12","4,357.13","-","-0.57%"
"Nov 05, 2021","4,388.19","4,473.80","4,512.90","4,387.36","-","-1.91%"
"Nov 04, 2021","4,473.80","4,309.93","4,473.80","4,309.93","-","3.80%"
"Nov 03, 2021","4,309.93","4,207.20","4,310.26","4,205.81","-","2.44%"
"Nov 02, 2021","4,207.20","4,092.20","4,214.42","4,092.20","-","2.81%"
"Oct 29, 2021","4,092.20","4,096.24","4,122.84","4,068.77","-","-0.10%"
"Oct 28, 2021","4,096.24","4,115.66","4,127.10","4,073.76","-","-0.47%"
"Oct 27, 2021","4,115.66","4,245.91","4,260.89","4,115.66","-","-3.07%"
"Oct 26, 2021","4,245.91","4,175.95","4,269.49","4,175.95","-","1.68%"
"Oct 25, 2021","4,175.95","4,084.35","4,176.22","4,084.35","-","2.24%"
"Oct 22, 2021","4,084.35","4,053.40","4,100.06","4,052.04","-","0.76%"
"Oct 21, 2021","4,053.40","4,037.49","4,075.03","4,031.53","-","0.39%"
"Oct 20, 2021","4,037.49","3,994.91","4,062.87","3,975.21","-","1.07%"
"Oct 19, 2021","3,994.91","4,008.74","4,036.48","3,994.22","-","-0.34%"
"Oct 18, 2021","4,008.74","3,982.18","4,078.87","3,959.02","-","0.67%"
"Oct 15, 2021","3,982.18","3,996.48","4,048.14","3,961.01","-","-0.36%"
"Oct 14, 2021","3,996.48","4,006.49","4,034.61","3,980.45","-","-0.25%"
"Oct 13, 2021","4,006.49","4,103.12","4,117.02","3,971.28","-","-2.36%"
"Oct 12, 2021","4,103.12","4,145.62","4,196.38","4,096.23","-","-1.03%"
"Oct 08, 2021","4,145.62","4,129.68","4,168.82","4,129.68","-","0.39%"
"Oct 07, 2021","4,129.68","4,132.30","4,226.80","4,122.76","-","-0.06%"
"Oct 06, 2021","4,132.30","4,226.08","4,237.43","4,101.14","-","-2.22%"
"Oct 05, 2021","4,226.08","4,242.62","4,277.92","4,211.21","-","-0.39%"
"Oct 04, 2021","4,242.62","4,326.72","4,331.37","4,241.65","-","-1.94%"
"Oct 01, 2021","4,326.72","4,362.59","4,373.50","4,314.30","-","-0.82%"
"Sep 30, 2021","4,362.59","4,335.20","4,371.07","4,335.20","-","0.63%"
"Sep 29, 2021","4,335.20","4,323.34","4,364.54","4,318.52","-","0.27%"
"Sep 28, 2021","4,323.34","4,351.71","4,354.07","4,306.88","-","-0.65%"
"Sep 27, 2021","4,351.71","4,377.19","4,402.54","4,347.26","-","-0.58%"
"Sep 24, 2021","4,377.19","4,411.69","4,414.66","4,355.89","-","-0.78%"
"Sep 23, 2021","4,411.69","4,384.03","4,418.49","4,382.71","-","0.63%"
"Sep 22, 2021","4,384.03","4,307.43","4,394.29","4,307.43","-","1.78%"
"Sep 21, 2021","4,307.43","4,291.36","4,342.94","4,290.25","-","0.37%"
"Sep 20, 2021","4,291.36","4,465.47","4,465.47","4,290.58","-","-3.90%"
"Sep 16, 2021","4,465.47","4,433.84","4,465.47","4,401.84","-","0.71%"
"Sep 15, 2021","4,433.84","4,419.58","4,450.09","4,406.55","-","0.55%"
"Sep 14, 2021","4,409.42","4,401.31","4,439.94","4,401.31","-","0.18%"
